# Sonora Bobcat evolution: the first 16 mass blocks, 0.0005 to 0.011 Msun, of
# evolution_tables/evo_tables+0.0/nc+0.0_co1.0_mass (cloudless, [M/H] = 0.0, solar C/O).
#
# Source: Marley, M. S., Saumon, D., Visscher, C. et al. (2021), "The Sonora Brown Dwarf
# Atmosphere and Evolution Models. I. Model Description and Application to Cloudless Atmospheres
# in Rainout Chemical Equilibrium", ApJ 920, 85.
# Data: "Sonora Bobcat: cloud-free, substellar atmosphere models, spectra, photometry, evolution,
# and chemistry", Zenodo record 5063476, doi:10.5281/zenodo.5063476, file
# evolution_and_photometery.tar.gz (sha256
# 2198426d1ca0e410fda7b63c3b7f45f3890a8d9f2fcf0a3a1e36e14185283ca5), retrieved 2026-09-23.
# Licence: Creative Commons Attribution 4.0 International (CC BY 4.0),
# https://creativecommons.org/licenses/by/4.0/.
#
# Changes: only what hyperion-fit's `giant_cooling` task reads is kept, lines 1-472 of the
# 1,490-line original (sha256 b9dcb99b4f21e9407e713a7a5eff1aac445859ad4e7a1094e31de0a07cc1c891):
# the column header and the blocks from 0.0005 to 0.011 Msun. Trailing whitespace is removed and
# these comment lines are added. No value is altered. The heavier blocks are left out because
# they burn deuterium, which neither this fit nor plan 06's cooling fit models.
#
# Columns, from the tables' README: mass in Msun (1.989e33 g), age in Gyr, log L/Lsun
# (log Lsun = 33.5827 in erg/s), Teff in K, log g in cm/s2, R/Rsun (6.9599e10 cm), log I in
# g cm2. Each block of rows is preceded by its number of rows.
 0.0090    0.0080     -3.740     1696.   4.005  0.1560  50.7135
 0.0090    0.0100     -3.866     1604.   4.034  0.1509  50.6856
 0.0090    0.0150     -4.085     1451.   4.079  0.1434  50.6422
 0.0090    0.0200     -4.246     1345.   4.108  0.1386  50.6128
 0.0090    0.0300     -4.466     1209.   4.143  0.1332  50.5783
 0.0090    0.0400     -4.628     1116.   4.165  0.1298  50.5558
 0.0090    0.0600     -4.851      997.   4.193  0.1257  50.5283
 0.0090    0.0800     -5.015      916.   4.210  0.1233  50.5109
 0.0090    0.1000     -5.144      857.   4.222  0.1216  50.4987
 0.0090    0.1500     -5.371      760.   4.241  0.1189  50.4797
 0.0090    0.2000     -5.544      693.   4.254  0.1172  50.4669
 0.0090    0.3000     -5.762      617.   4.269  0.1152  50.4517
 0.0090    0.4000     -5.916      567.   4.279  0.1138  50.4417
 0.0090    0.6000     -6.120      509.   4.292  0.1121  50.4288
 0.0090    0.8000     -6.259      472.   4.301  0.1110  50.4203
 0.0090    1.0000     -6.368      445.   4.308  0.1102  50.4139
 0.0090    1.5000     -6.570      398.   4.318  0.1088  50.4033
 0.0090    2.0000     -6.703      371.   4.326  0.1079  50.3958
 0.0090    3.0000     -6.861      340.   4.337  0.1065  50.3855
 0.0090    4.0000     -6.983      319.   4.345  0.1056  50.3779
 0.0090    6.0000     -7.167      289.   4.356  0.1042  50.3674
 0.0090    8.0000     -7.310      267.   4.363  0.1033  50.3603
 0.0090   10.0000     -7.423      251.   4.369  0.1027  50.3550
 0.0090   15.0000     -7.639      223.   4.378  0.1016  50.3461
  29
 0.0100    0.0010     -2.729     2368.   3.620  0.2563  51.1546
 0.0100    0.0020     -2.989     2234.   3.778  0.2137  51.0126
 0.0100    0.0030     -3.159     2125.   3.862  0.1941  50.9362
 0.0100    0.0040     -3.291     2035.   3.918  0.1819  50.8835
 0.0100    0.0060     -3.481     1901.   3.989  0.1676  50.8165
 0.0100    0.0080     -3.626     1794.   4.034  0.1591  50.7734
 0.0100    0.0100     -3.746     1706.   4.066  0.1534  50.7428
 0.0100    0.0150     -3.965     1546.   4.114  0.1451  50.6958
 0.0100    0.0200     -4.125     1436.   4.146  0.1399  50.6643
 0.0100    0.0300     -4.337     1298.   4.183  0.1341  50.6273
 0.0100    0.0400     -4.492     1203.   4.206  0.1305  50.6038
 0.0100    0.0600     -4.717     1076.   4.236  0.1261  50.5736
 0.0100    0.0800     -4.873      994.   4.255  0.1234  50.5551
 0.0100    0.1000     -4.999      931.   4.268  0.1215  50.5417
 0.0100    0.1500     -5.239      821.   4.290  0.1186  50.5200
 0.0100    0.2000     -5.405      752.   4.303  0.1168  50.5066
 0.0100    0.3000     -5.635      665.   4.319  0.1146  50.4902
 0.0100    0.4000     -5.792      611.   4.330  0.1132  50.4795
 0.0100    0.6000     -6.006      545.   4.344  0.1114  50.4658
 0.0100    0.8000     -6.150      504.   4.353  0.1102  50.4568
 0.0100    1.0000     -6.263      474.   4.360  0.1093  50.4501
 0.0100    1.5000     -6.466      425.   4.371  0.1079  50.4390
 0.0100    2.0000     -6.619      391.   4.379  0.1069  50.4313
 0.0100    3.0000     -6.792      356.   4.390  0.1057  50.4213
 0.0100    4.0000     -6.911      334.   4.397  0.1048  50.4141
 0.0100    6.0000     -7.086      304.   4.408  0.1035  50.4039
 0.0100    8.0000     -7.221      282.   4.415  0.1026  50.3968
 0.0100   10.0000     -7.330      266.   4.421  0.1019  50.3915
 0.0100   15.0000     -7.536      237.   4.430  0.1008  50.3824
  29
 0.0110    0.0010     -2.662     2418.   3.630  0.2657  51.2257
 0.0110    0.0020     -2.914     2294.   3.791  0.2208  51.0803
 0.0110    0.0030     -3.078     2194.   3.877  0.2000  51.0011
 0.0110    0.0040     -3.204     2110.   3.936  0.1869  50.9460
 0.0110    0.0060     -3.387     1982.   4.010  0.1716  50.8758
 0.0110    0.0080     -3.521     1886.   4.057  0.1625  50.8305
 0.0110    0.0100     -3.631     1804.   4.091  0.1564  50.7984
 0.0110    0.0150     -3.835     1652.   4.141  0.1476  50.7493
 0.0110    0.0200     -3.987     1542.   4.173  0.1422  50.7172
 0.0110    0.0300     -4.177     1412.   4.210  0.1363  50.6805
 0.0110    0.0400     -4.315     1322.   4.234  0.1326  50.6563
 0.0110    0.0600     -4.513     1200.   4.264  0.1281  50.6262
 0.0110    0.0800     -4.658     1117.   4.284  0.1252  50.6067
 0.0110    0.1000     -4.772     1054.   4.298  0.1232  50.5924
 0.0110    0.1500     -4.991      942.   4.322  0.1198  50.5680
 0.0110    0.2000     -5.162      862.   4.338  0.1177  50.5523
 0.0110    0.3000     -5.405      758.   4.357  0.1151  50.5327
 0.0110    0.4000     -5.579      691.   4.370  0.1134  50.5202
 0.0110    0.6000     -5.811      610.   4.386  0.1114  50.5044
 0.0110    0.8000     -5.974      558.   4.396  0.1100  50.4939
 0.0110    1.0000     -6.099      522.   4.404  0.1090  50.4864
 0.0110    1.5000     -6.318      464.   4.417  0.1074  50.4734
 0.0110    2.0000     -6.484      424.   4.426  0.1063  50.4648
 0.0110    3.0000     -6.698      377.   4.437  0.1050  50.4540
 0.0110    4.0000     -6.833      350.   4.445  0.1040  50.4466
 0.0110    6.0000     -7.006      319.   4.455  0.1028  50.4365
 0.0110    8.0000     -7.137      297.   4.462  0.1019  50.4294
 0.0110   10.0000     -7.243      280.   4.468  0.1013  50.4241
 0.0110   15.0000     -7.443      251.   4.478  0.1001  50.4148
